converter_techs,vintage,lifeTime,activityUpperLimit
BIO,2000,30,1.0
BIO,2030,30,1.0
Battery,2020,20,1.0
Battery,2030,20,1.0
Battery,2040,20,1.0
Battery,2050,20,1.0
CCGT,2000,30,1.0
CCGT,2030,30,1.0
COAL,2000,30,1.0
COAL,2030,30,1.0
DIE,2000,30,1.0
DIE,2030,30,1.0
GT,2000,30,1.0
GT,2030,30,1.0
OCGT,2000,30,1.0
OCGT,2030,30,1.0
Turbine,2000,100,1.0
Turbine,2020,100,1.0
geoth,2000,100,1.0
geoth,2050,100,1.0
pv_central_fixed,2020,35,0.0
pv_central_fixed,2030,40,0.0
pv_central_fixed,2040,40,0.0
pv_central_fixed,2050,40,0.0
pv_central_track_azimuth,2020,35,0.0
pv_central_track_azimuth,2030,40,0.0
pv_central_track_azimuth,2040,40,0.0
pv_central_track_azimuth,2050,40,0.0
pv_decentral,2020,35,0.0
pv_decentral,2030,40,0.0
pv_decentral,2040,40,0.0
pv_decentral,2050,40,0.0
wind_offshore_floating,2020,27,0.0
wind_offshore_floating,2030,30,0.0
wind_offshore_floating,2040,30,0.0
wind_offshore_floating,2050,30,0.0
wind_offshore_foundation,2020,27,0.0
wind_offshore_foundation,2030,30,0.0
wind_offshore_foundation,2040,30,0.0
wind_offshore_foundation,2050,30,0.0
wind_onshore,2020,27,0.0
wind_onshore,2030,30,0.0
wind_onshore,2040,30,0.0
wind_onshore,2050,30,0.0
