accNodesModel,accYears,techs,commodity,capType,value
AKL,2030,Battery,Elec,build,0.011514493211423478
AKL,2030,Battery,Elec,total,0.011514493211423478
AKL,2030,Battery,Elec,upperLimit,50.0
AKL,2030,Battery,Elec_battery,build,0.011226630881137891
AKL,2030,Battery,Elec_battery,total,0.011226630881137891
AKL,2030,Battery,Elec_battery,upperLimit,48.75
AKL,2030,pv_central_fixed,Elec,build,1.0402915007212853e-06
AKL,2030,pv_central_fixed,Elec,total,1.0402915007212853e-06
AKL,2030,pv_central_fixed,Elec,upperLimit,180.66817
AKL,2030,pv_central_track_azimuth,Elec,build,5.00289035472761e-07
AKL,2030,pv_central_track_azimuth,Elec,total,5.00289035472761e-07
AKL,2030,pv_central_track_azimuth,Elec,upperLimit,180.66817
AKL,2030,pv_decentral,Elec,build,8.688128753325032e-08
AKL,2030,pv_decentral,Elec,total,8.688128753325032e-08
AKL,2030,pv_decentral,Elec,upperLimit,2.2025300000000003
AKL,2030,wind_offshore_floating,Elec,build,2.5632294361779328e-08
AKL,2030,wind_offshore_floating,Elec,total,2.5632294361779328e-08
AKL,2030,wind_offshore_floating,Elec,upperLimit,34.72203
AKL,2030,wind_offshore_foundation,Elec,build,2.561079027896491e-08
AKL,2030,wind_offshore_foundation,Elec,total,2.561079027896491e-08
AKL,2030,wind_offshore_foundation,Elec,upperLimit,12.56432
AKL,2030,wind_onshore,Elec,build,0.038597068830552826
AKL,2030,wind_onshore,Elec,total,0.038597068830552826
AKL,2030,wind_onshore,Elec,upperLimit,7.56917
AKL,2040,Battery,Elec,build,0.05490052663340577
AKL,2040,Battery,Elec,decom,1.0638668823455055e-10
AKL,2040,Battery,Elec,total,0.06641502010478552
AKL,2040,Battery,Elec,upperLimit,100.0
AKL,2040,Battery,Elec_battery,build,0.05352801346757063
AKL,2040,Battery,Elec_battery,decom,1.0372702102868678e-10
AKL,2040,Battery,Elec_battery,total,0.06475464460216589
AKL,2040,Battery,Elec_battery,upperLimit,97.5
AKL,2040,pv_central_fixed,Elec,build,1.176276944101056e-06
AKL,2040,pv_central_fixed,Elec,decom,9.515256185361973e-12
AKL,2040,pv_central_fixed,Elec,total,2.216925272531377e-06
AKL,2040,pv_central_fixed,Elec,upperLimit,361.33634
AKL,2040,pv_central_track_azimuth,Elec,build,4.866536574033215e-07
AKL,2040,pv_central_track_azimuth,Elec,decom,8.090522865439401e-12
AKL,2040,pv_central_track_azimuth,Elec,total,9.87300945318438e-07
AKL,2040,pv_central_track_azimuth,Elec,upperLimit,361.33634
AKL,2040,pv_decentral,Elec,build,1.1894023063027232e-07
AKL,2040,pv_decentral,Elec,decom,5.965792800874254e-12
AKL,2040,pv_decentral,Elec,total,2.061818953359426e-07
AKL,2040,pv_decentral,Elec,upperLimit,4.405060000000001
AKL,2040,wind_offshore_floating,Elec,build,2.6757849324571017e-08
AKL,2040,wind_offshore_floating,Elec,decom,1.066967997984824e-12
AKL,2040,wind_offshore_floating,Elec,total,5.275541968357318e-08
AKL,2040,wind_offshore_floating,Elec,upperLimit,69.44406
AKL,2040,wind_offshore_foundation,Elec,build,2.6750936880833796e-08
AKL,2040,wind_offshore_foundation,Elec,decom,1.2782398450358918e-12
AKL,2040,wind_offshore_foundation,Elec,total,5.272679188517447e-08
AKL,2040,wind_offshore_foundation,Elec,upperLimit,25.12864
AKL,2040,wind_onshore,Elec,build,0.14005858411574026
AKL,2040,wind_onshore,Elec,decom,2.8616404548149244e-12
AKL,2040,wind_onshore,Elec,total,0.1786556533097744
AKL,2040,wind_onshore,Elec,upperLimit,15.13834
AKL,2050,Battery,Elec,build,0.05560091345614963
AKL,2050,Battery,Elec,decom,0.01151449336716836
AKL,2050,Battery,Elec,total,0.12201593377153322
AKL,2050,Battery,Elec,upperLimit,100.0
AKL,2050,Battery,Elec_battery,build,0.054210890619745884
AKL,2050,Battery,Elec_battery,decom,0.011226631032989152
AKL,2050,Battery,Elec_battery,total,0.11896553542724489
AKL,2050,Battery,Elec_battery,upperLimit,97.5
AKL,2050,pv_central_fixed,Elec,build,1.0611553231371003e-06
AKL,2050,pv_central_fixed,Elec,decom,4.238868477634584e-11
AKL,2050,pv_central_fixed,Elec,total,3.2787708929141427e-06
AKL,2050,pv_central_fixed,Elec,upperLimit,542.00451
AKL,2050,pv_central_track_azimuth,Elec,build,4.004571576934133e-07
AKL,2050,pv_central_track_azimuth,Elec,decom,3.5980289115240005e-11
AKL,2050,pv_central_track_azimuth,Elec,total,1.3884548086531777e-06
AKL,2050,pv_central_track_azimuth,Elec,upperLimit,542.00451
AKL,2050,pv_decentral,Elec,build,1.3565973563057842e-07
AKL,2050,pv_decentral,Elec,decom,2.7054691406055783e-11
AKL,2050,pv_decentral,Elec,total,3.4254726220555655e-07
AKL,2050,pv_decentral,Elec,upperLimit,6.607590000000001
AKL,2050,wind_offshore_floating,Elec,build,2.7145977113792758e-08
AKL,2050,wind_offshore_floating,Elec,decom,4.365130948575476e-12
AKL,2050,wind_offshore_floating,Elec,total,8.062971759685898e-08
AKL,2050,wind_offshore_floating,Elec,upperLimit,104.16609
AKL,2050,wind_offshore_foundation,Elec,build,2.7414643498505643e-08
AKL,2050,wind_offshore_foundation,Elec,decom,5.211686023764161e-12
AKL,2050,wind_offshore_foundation,Elec,total,8.086890962809798e-08
AKL,2050,wind_offshore_foundation,Elec,upperLimit,37.69296
AKL,2050,wind_onshore,Elec,build,0.16757758682930304
AKL,2050,wind_onshore,Elec,decom,1.1703449779346127e-11
AKL,2050,wind_onshore,Elec,total,0.3462332408600599
AKL,2050,wind_onshore,Elec,upperLimit,22.70751
BOP,2030,Battery,Elec,build,0.03490042876164747
BOP,2030,Battery,Elec,total,0.03490042876164747
BOP,2030,Battery,Elec,upperLimit,50.0
BOP,2030,Battery,Elec_battery,build,0.034027918042606284
BOP,2030,Battery,Elec_battery,total,0.034027918042606284
BOP,2030,Battery,Elec_battery,upperLimit,48.75
BOP,2030,pv_central_fixed,Elec,build,0.10588680377714126
BOP,2030,pv_central_fixed,Elec,total,0.10588680377714126
BOP,2030,pv_central_fixed,Elec,upperLimit,237.96793
BOP,2030,pv_central_track_azimuth,Elec,build,5.720380059430363e-06
BOP,2030,pv_central_track_azimuth,Elec,total,5.720380059430363e-06
BOP,2030,pv_central_track_azimuth,Elec,upperLimit,237.94021
BOP,2030,pv_decentral,Elec,build,8.893440963141906e-08
BOP,2030,pv_decentral,Elec,total,8.893440963141906e-08
BOP,2030,pv_decentral,Elec,upperLimit,0.56348
BOP,2030,wind_offshore_floating,Elec,build,1.0268717129874377e-07
BOP,2030,wind_offshore_floating,Elec,total,1.0268717129874377e-07
BOP,2030,wind_offshore_floating,Elec,upperLimit,21.89748
BOP,2030,wind_offshore_foundation,Elec,build,5.949267782749489e-08
BOP,2030,wind_offshore_foundation,Elec,total,5.949267782749489e-08
BOP,2030,wind_offshore_foundation,Elec,upperLimit,5.5911800000000005
BOP,2030,wind_onshore,Elec,build,2.3434785431266965e-06
BOP,2030,wind_onshore,Elec,total,2.3434785431266965e-06
BOP,2030,wind_onshore,Elec,upperLimit,11.39598
BOP,2040,Battery,Elec,build,0.0042901483139575515
BOP,2040,Battery,Elec,decom,1.0681574768105229e-10
BOP,2040,Battery,Elec,total,0.039190577335132246
BOP,2040,Battery,Elec,upperLimit,100.0
BOP,2040,Battery,Elec_battery,build,0.0041828946061086125
