accNodesModel,accYears,techs,commodity,capType,value
AKL,2050,Battery,Elec,total,0.557100989403657
AKL,2050,PV,Elec,total,0.00010690354004600357
AKL,2050,Wind,Elec,total,2.4719512069617315
BOP,2050,Battery,Elec,total,0.8152986958890093
BOP,2050,PV,Elec,total,2.261274496133169
BOP,2050,Wind,Elec,total,0.009982798251750599
CAN,2050,Battery,Elec,total,9.791223113003113
CAN,2050,PV,Elec,total,20.878133675388675
CAN,2050,Wind,Elec,total,5.425522953419438e-06
CEN,2050,Battery,Elec,total,0.0006959739109116415
CEN,2050,PV,Elec,total,4.538558526438669e-05
CEN,2050,Wind,Elec,total,9.43013147857023e-06
HBY,2050,Battery,Elec,total,0.12006289914670594
HBY,2050,PV,Elec,total,2.7623882042498637e-05
HBY,2050,Wind,Elec,total,4.1274192727721604e-05
NEL,2050,Battery,Elec,total,0.730932464953127
NEL,2050,PV,Elec,total,2.4648625331145357
NEL,2050,Wind,Elec,total,1.102474128340008e-05
NIS,2050,Battery,Elec,total,7.440079143342439
NIS,2050,PV,Elec,total,17.202457260909
NIS,2050,Wind,Elec,total,2.054204435206947
OTG,2050,Battery,Elec,total,11.372928522412431
OTG,2050,PV,Elec,total,25.19519295330216
OTG,2050,Wind,Elec,total,8.700453531877836e-05
TRN,2050,Battery,Elec,total,6.817649379127348
TRN,2050,PV,Elec,total,18.81152707264812
TRN,2050,Wind,Elec,total,3.5581960986473845e-05
WEL,2050,Battery,Elec,total,0.282515198328087
WEL,2050,PV,Elec,total,3.409765701470242e-05
WEL,2050,Wind,Elec,total,1.5751957406472363
WTO,2050,Battery,Elec,total,3.113193281232639
WTO,2050,PV,Elec,total,10.383062050833859
WTO,2050,Wind,Elec,total,8.550880529671732e-06
global,2050,Battery,Elec,total,41.041679660749466
global,2050,PV,Elec,total,97.19672405299389
global,2050,Wind,Elec,total,6.111532473032943
