,,lifeTime,freeDecom,mipUnits,levelLowerLimit,levelUpperLimit,annualDegradation,usageDegradation,sequentialDegradationStates,sequentialSoC,maxCRate,maxERate,chargingLoss,dischargingLoss
Battery,2020,20,,,,1,,,,,,,,
Battery,2030,20,,,,1,,,,,,,,
Battery,2040,20,,,,1,,,,,,,,
Battery,2050,20,,,,1,,,,,,,,
CH4Storage,2020,40,,,,1,,,,,,,,
CH4Storage,2050,40,,,,1,,,,,,,,
H2Storage,2020,40,,,,1,,,,,,,,
H2Storage,2050,40,,,,1,,,,,,,,
H2_storage,2020,40,,,,1,,,,,,,,
H2_storage,2035,40,,,,1,,,,,,,,
H2_storage,2050,40,,,,1,,,,,,,,
Hydro_reservoir,1950,100,,,,1,,,,,,,,
REfuelStorage,2020,40,,,,1,,,,,,,,
REfuelStorage,2050,40,,,,1,,,,,,,,
