,,,,usesFixedProfile,usesLowerProfile,usesUpperProfile,usesFixedSum,usesLowerSum,usesUpperSum,scaleFixProfileWithFixSum,scaleLowProfileWithLowSum,scaleUpProfileWithUpSum
AKL,2050,All,Elec,1,,,,,,,,
AKL,2050,FuelImport,Gas_bio,,,1,,0,1,,,
AKL,2050,FuelImport,LF_bio,,,1,,0,1,,,
AKL,2050,Heat,CH4,,,1,,0,1,,,
AKL,2050,Heat,FuelService_Gas_bio,,,1,,0,1,,,
AKL,2050,Ocean,Water_out,,,1,,,,,,
AKL,2050,Transport,CH4,,,1,,0,1,,,
AKL,2050,Transport,FuelService_Gas_bio,,,1,,0,1,,,
AKL,2050,Transport,FuelService_LF_bio,,,1,,0,1,,,
AKL,2050,Transport,H2,,,1,,0,1,,,
AKL,2050,Transport,REfuel,,,1,,0,1,,,
BOP,2020,Inflow,Water_in,1,,,,,,,,
BOP,2030,Inflow,Water_in,1,,,,,,,,
BOP,2040,Inflow,Water_in,1,,,,,,,,
BOP,2050,All,Elec,1,,,,,,,,
BOP,2050,FuelImport,Gas_bio,,,1,,0,1,,,
BOP,2050,FuelImport,LF_bio,,,1,,0,1,,,
BOP,2050,Heat,CH4,,,1,,0,1,,,
BOP,2050,Heat,FuelService_Gas_bio,,,1,,0,1,,,
BOP,2050,Inflow,Water_in,1,,,,,,,,
BOP,2050,Ocean,Water_out,,,1,,,,,,
BOP,2050,Transport,CH4,,,1,,0,1,,,
BOP,2050,Transport,FuelService_Gas_bio,,,1,,0,1,,,
BOP,2050,Transport,FuelService_LF_bio,,,1,,0,1,,,
BOP,2050,Transport,H2,,,1,,0,1,,,
BOP,2050,Transport,REfuel,,,1,,0,1,,,
CAN,2020,Inflow,Water_in,1,,,,,,,,
CAN,2030,Inflow,Water_in,1,,,,,,,,
CAN,2040,Inflow,Water_in,1,,,,,,,,
CAN,2050,All,Elec,1,,,,,,,,
CAN,2050,FuelImport,Gas_bio,,,1,,0,1,,,
