,,,size,selfdischarge,selfdischargeAbs
Battery,2020,Elec_battery,4,,
Battery,2030,Elec_battery,4,,
Battery,2040,Elec_battery,4,,
Battery,2050,Elec_battery,4,,
H2_storage,2020,H2_stored,6.999,,
H2_storage,2035,H2_stored,6.999,,
H2_storage,2050,H2_stored,6.999,,
Stor_Lake_Hawea,1950,Dunstan_in,1,0,
Stor_Lake_Ohau,1950,Ohau_in,1,0,
Stor_Lake_Pukaki,1950,Pukaki_in,1,0,
Stor_Lake_Taupo,1950,Aratiatia_in,1,0,
Stor_Lake_Tekapo,1950,Tekapo_in,1,0,
Stor_Lake_Waikaremoana,1950,Waikaremoana_in,1,0,
Stor_Lakes_Manapouri_Te_Anau,1950,Manapouri_in,1,0,
