indicator,accNodesData,converter_techs,vintage,perUnitBuild,useAnnuity,amorTime,interest
Invest,global,Battery,2020,117.0,1,20,0.06
Invest,global,Battery,2030,55.0,1,20,0.06
Invest,global,Battery,2040,37.0,1,20,0.06
Invest,global,Battery,2050,30.0,1,20,0.06
Invest,global,Electrolyser,2020,750.0,1,25,0.06
Invest,global,Electrolyser,2030,570.0,1,30,0.06
Invest,global,Electrolyser,2040,450.0,1,32,0.06
Invest,global,Electrolyser,2050,350.0,1,35,0.06
Invest,global,FTropschSyn,2020,1017.0,1,30,0.06
Invest,global,FTropschSyn,2040,915.0,1,30,0.06
Invest,global,Methanizer,2020,558.0,1,20,0.06
Invest,global,Methanizer,2030,309.0,1,25,0.06
Invest,global,Methanizer,2040,251.0,1,30,0.06
Invest,global,Methanizer,2050,211.0,1,30,0.06
Invest,global,MethanolSyn,2020,835.0,1,30,0.06
Invest,global,pv_central_fixed,2020,560.0,1,35,0.06
Invest,global,pv_central_fixed,2030,380.0,1,40,0.06
Invest,global,pv_central_fixed,2040,320.0,1,40,0.06
Invest,global,pv_central_fixed,2050,290.0,1,40,0.06
Invest,global,pv_central_track_azimuth,2020,650.0,1,35,0.06
Invest,global,pv_central_track_azimuth,2030,450.0,1,40,0.06
Invest,global,pv_central_track_azimuth,2040,380.0,1,40,0.06
Invest,global,pv_central_track_azimuth,2050,350.0,1,40,0.06
Invest,global,pv_decentral,2020,870.0,1,35,0.06
Invest,global,pv_decentral,2030,570.0,1,40,0.06
Invest,global,pv_decentral,2040,460.0,1,40,0.06
Invest,global,pv_decentral,2050,410.0,1,40,0.06
Invest,global,wind_offshore_floating,2020,2544.0,1,27,0.06
Invest,global,wind_offshore_floating,2030,2744.4,1,30,0.06
Invest,global,wind_offshore_floating,2040,2601.6,1,30,0.06
Invest,global,wind_offshore_floating,2050,2556.0,1,30,0.06
Invest,global,wind_offshore_foundation,2020,2120.0,1,27,0.06
Invest,global,wind_offshore_foundation,2030,2287.0,1,30,0.06
Invest,global,wind_offshore_foundation,2040,2168.0,1,30,0.06
Invest,global,wind_offshore_foundation,2050,2130.0,1,30,0.06
Invest,global,wind_onshore,2020,1330.0,1,27,0.06
Invest,global,wind_onshore,2030,1040.0,1,30,0.06
Invest,global,wind_onshore,2040,980.0,1,30,0.06
Invest,global,wind_onshore,2050,960.0,1,30,0.06
OMFix,global,Battery,2020,0.0,0,0,0.0
OMFix,global,Battery,2030,0.0,0,0,0.0
OMFix,global,Battery,2040,0.0,0,0,0.0
OMFix,global,Battery,2050,0.0,0,0,0.0
OMFix,global,Electrolyser,2020,0.0,0,0,0.0
OMFix,global,Electrolyser,2030,0.0,0,0,0.0
OMFix,global,Electrolyser,2040,0.0,0,0,0.0
OMFix,global,Electrolyser,2050,0.0,0,0,0.0
OMFix,global,FTropschSyn,2020,0.0,0,0,0.0
OMFix,global,FTropschSyn,2040,0.0,0,0,0.0
OMFix,global,Methanizer,2020,0.0,0,0,0.0
OMFix,global,Methanizer,2030,0.0,0,0,0.0
OMFix,global,Methanizer,2040,0.0,0,0,0.0
OMFix,global,Methanizer,2050,0.0,0,0,0.0
OMFix,global,MethanolSyn,2020,0.0,0,0,0.0
OMFix,global,pv_central_fixed,2020,0.0,0,0,0.0
OMFix,global,pv_central_fixed,2030,0.0,0,0,0.0
OMFix,global,pv_central_fixed,2040,0.0,0,0,0.0
OMFix,global,pv_central_fixed,2050,0.0,0,0,0.0
OMFix,global,pv_central_track_azimuth,2020,0.0,0,0,0.0
OMFix,global,pv_central_track_azimuth,2030,0.0,0,0,0.0
OMFix,global,pv_central_track_azimuth,2040,0.0,0,0,0.0
OMFix,global,pv_central_track_azimuth,2050,0.0,0,0,0.0
OMFix,global,pv_decentral,2020,0.0,0,0,0.0
OMFix,global,pv_decentral,2030,0.0,0,0,0.0
OMFix,global,pv_decentral,2040,0.0,0,0,0.0
OMFix,global,pv_decentral,2050,0.0,0,0,0.0
OMFix,global,wind_offshore_floating,2020,0.0,0,0,0.0
OMFix,global,wind_offshore_floating,2030,0.0,0,0,0.0
OMFix,global,wind_offshore_floating,2040,0.0,0,0,0.0
OMFix,global,wind_offshore_floating,2050,0.0,0,0,0.0
OMFix,global,wind_offshore_foundation,2020,0.0,0,0,0.0
OMFix,global,wind_offshore_foundation,2030,0.0,0,0,0.0
OMFix,global,wind_offshore_foundation,2040,0.0,0,0,0.0
OMFix,global,wind_offshore_foundation,2050,0.0,0,0,0.0
OMFix,global,wind_onshore,2020,0.0,0,0,0.0
OMFix,global,wind_onshore,2030,0.0,0,0,0.0
OMFix,global,wind_onshore,2040,0.0,0,0,0.0
OMFix,global,wind_onshore,2050,0.0,0,0,0.0
