accNodesModel,accYears,techs,commodity,capType,value
AKL,2003,BIO,Elec,total,0.007
AKL,2004,BIO,Elec,total,0.007
AKL,2005,BIO,Elec,total,0.007
AKL,2005,GT,Elec,total,0.0036
AKL,2006,BIO,Elec,total,0.007
AKL,2006,GT,Elec,total,0.0036
AKL,2007,BIO,Elec,total,0.007
AKL,2007,GT,Elec,total,0.0036
AKL,2008,BIO,Elec,total,0.007
AKL,2008,GT,Elec,total,0.0036
AKL,2009,BIO,Elec,total,0.007
AKL,2009,GT,Elec,total,0.0036
AKL,2010,BIO,Elec,total,0.007
AKL,2010,GT,Elec,total,0.0036
AKL,2011,BIO,Elec,total,0.007
AKL,2011,GT,Elec,total,0.0036
AKL,2012,BIO,Elec,total,0.007
AKL,2012,GT,Elec,total,0.0036
AKL,2013,BIO,Elec,total,0.007
AKL,2013,GT,Elec,total,0.0036
AKL,2014,BIO,Elec,total,0.007
AKL,2014,GT,Elec,total,0.0036
AKL,2015,BIO,Elec,total,0.007
AKL,2015,GT,Elec,total,0.0036
AKL,2016,BIO,Elec,total,0.007
AKL,2016,GT,Elec,total,0.0036
AKL,2017,BIO,Elec,total,0.007
AKL,2017,GT,Elec,total,0.0036
AKL,2018,BIO,Elec,total,0.007
AKL,2018,GT,Elec,total,0.0036
AKL,2019,BIO,Elec,total,0.007
AKL,2019,GT,Elec,total,0.0036
AKL,2020,BIO,Elec,total,0.007
AKL,2020,Battery,Elec,total,0.28086941762743073
AKL,2020,COAL,Elec,total,0.11200000511254012
AKL,2050,BIO,Elec,total,0.007
AKL,2050,Battery,Elec,total,5.869494181100591
AKL,2050,CCGT,Elec,total,0.00016477871081425435
AKL,2050,GT,Elec,total,1.0231889803324279e-06
AKL,2050,OCGT,Elec,total,0.29444283860831333
AKL,2050,PV,Elec,total,12.6186611198911
AKL,2050,Wind,Elec,total,0.6016726947671588
BOP,2000,Hydro,Elec,total,0.17095
BOP,2001,Hydro,Elec,total,0.17095
BOP,2002,Hydro,Elec,total,0.17095
BOP,2003,Hydro,Elec,total,0.17095
BOP,2004,Hydro,Elec,total,0.17095
BOP,2005,Hydro,Elec,total,0.17095
BOP,2006,Hydro,Elec,total,0.17095
BOP,2007,Hydro,Elec,total,0.17095
BOP,2008,Hydro,Elec,total,0.17095
